id,platform,restaurant,orderDate,orderTime,itemSummary,categorySummary,subtotal,deliveryFee,taxes,discount,total,estimatedCalories,estimatedProtein,estimatedCarbs,estimatedFat,dataQuality
FL0189,Swiggy,Oven Story Pizza,2026-08-31,16:50,Garlic Bread x2,Pizza,298,30,17,75,270,700,16,90,32,High
FL0205,Swiggy,Cafe Coffee Day,2026-08-25,19:00,Cappuccino x1; Veg Momos x1,Beverages; Snacks,348,25,28,0,401,550,22,69,20,High
FL0194,Zomato,Social,2026-08-22,18:00,Dal Makhani + Rice x1,Indian,299,0,13,20,292,680,20,105,20,High
FL0202,Zomato,Theobroma,2026-08-21,18:15,Gulab Jamun x1,Desserts,129,30,10,50,119,330,4,50,12,High
FL0198,Zomato,Social,2026-08-21,16:45,Butter Chicken + 2 Roti x1,Indian,399,30,27,75,381,850,42,65,38,Medium
FL0193,Zomato,Sweet Truth,2026-08-15,22:45,Brownie x1; Brownie x1,Desserts; Desserts,358,49,25,0,432,780,10,96,40,High
FL0191,Swiggy,Burger King,2026-08-13,20:40,Whopper Meal x1,Burger,429,40,33,0,502,1050,35,115,43,Medium
FL0200,Zomato,Cafe Coffee Day,2026-08-13,19:40,Cappuccino x1,Beverages,149,25,13,0,187,130,6,14,5,High
FL0188,Swiggy,Wow! Momo,2026-08-13,13:30,Chicken Roll x1; Gulab Jamun x1,Snacks; Desserts,358,25,23,0,406,890,29,105,37,High
FL0206,Zomato,Burger King,2026-08-12,21:50,Whopper Meal x1,Burger,429,40,25,75,419,1050,35,115,43,Medium
FL0195,Swiggy,Domino's,2026-08-12,18:40,Garlic Bread x2,Pizza,298,0,13,0,311,700,16,90,32,High
FL0196,Zomato,Mainland China,2026-08-11,18:50,Schezwan Chicken x2,Chinese,758,30,42,30,800,1300,84,110,56,Medium
FL0190,Zomato,Haldiram's,2026-08-11,18:30,Paneer Butter Masala + Naan x1; Gulab Jamun x1,Indian; Desserts,508,25,37,100,470,1230,29,135,54,High
FL0185,Swiggy,KFC,2026-08-10,23:10,Chicken Popcorn x1,Fast Food,249,40,13,75,227,520,28,40,25,High
FL0184,Zomato,Biryani Blues,2026-08-09,22:50,Veg Biryani x1,Biryani,279,20,20,75,244,620,18,90,20,Medium
FL0192,Swiggy,The Good Bowl,2026-08-07,19:10,Rajma Rice x1,Indian,249,25,18,75,217,560,18,95,12,High
FL0199,Swiggy,Burger King,2026-08-07,16:10,Whopper Meal x1; Chocolate Shake x1,Burger; Beverages,658,40,52,50,700,1530,45,180,61,Medium
